timestamp,city,temperature,description
2025-12-09T10:46:46.025Z,Dublin,5.23,mist
2025-12-09T11:10:12.134Z,Dublin,5.32,mist
2025-12-09T12:06:02.887Z,Dublin,5.22,clear sky
2025-12-09T14:05:54.275Z,Dublin,4.75,mist
2025-12-09T14:05:54.277Z,Dublin,4.75,mist
2025-12-09T14:24:44.052Z,Dublin,4.82,mist
2025-12-09T14:24:44.054Z,Dublin,4.82,mist
2025-12-09T16:29:37.237Z,Dublin,5.5,mist
2025-12-09T16:29:37.242Z,Dublin,5.5,mist
2025-12-09T18:30:04.270Z,Dublin,7.92,few clouds
2025-12-09T18:30:04.273Z,Dublin,7.92,few clouds
2025-12-09T20:22:42.646Z,Dublin,11.19,haze
2025-12-09T20:22:42.648Z,Dublin,11.19,haze
2025-12-09T22:21:23.837Z,Dublin,13.48,haze
2025-12-09T22:21:23.849Z,Dublin,13.48,haze
2025-12-10T01:48:20.910Z,Dublin,10.19,mist
2025-12-10T01:48:20.912Z,Dublin,10.19,mist
2025-12-10T03:23:57.668Z,Dublin,9.44,haze
2025-12-10T03:23:57.670Z,Dublin,9.44,haze
2025-12-10T04:34:28.892Z,Dublin,8.02,mist
2025-12-10T04:34:28.894Z,Dublin,8.02,mist
2025-12-10T06:35:35.747Z,Dublin,6.48,mist
2025-12-10T06:35:35.749Z,Dublin,6.48,mist
2025-12-10T08:32:05.015Z,Dublin,6.25,mist
2025-12-10T08:32:05.022Z,Dublin,6.14,mist
2025-12-10T10:26:44.859Z,Dublin,5.98,fog
2025-12-10T10:26:44.861Z,Dublin,5.98,fog
2025-12-10T12:49:30.902Z,Dublin,5.68,mist
2025-12-10T12:49:30.903Z,Dublin,5.68,mist
2025-12-10T14:25:17.601Z,Dublin,5.38,mist
2025-12-10T14:25:17.603Z,Dublin,5.38,mist
2025-12-10T16:30:40.910Z,Dublin,5.95,mist
2025-12-10T16:30:40.948Z,Dublin,5.95,mist
2025-12-10T18:33:08.630Z,Dublin,10.58,clear sky
2025-12-10T18:33:08.632Z,Dublin,10.58,clear sky
2025-12-10T20:27:29.684Z,Dublin,14.25,clear sky
2025-12-10T20:27:29.686Z,Dublin,14.25,clear sky
2025-12-10T22:22:06.921Z,Dublin,17.65,clear sky
2025-12-10T22:22:06.923Z,Dublin,17.65,clear sky
2025-12-11T01:49:36.131Z,Dublin,9.45,clear sky
2025-12-11T01:49:36.133Z,Dublin,9.5,clear sky
2025-12-11T03:28:00.032Z,Dublin,9.06,clear sky
2025-12-11T03:28:00.033Z,Dublin,9.06,clear sky
2025-12-11T04:36:21.069Z,Dublin,11.13,clear sky
2025-12-11T04:36:21.071Z,Dublin,11.13,clear sky
2025-12-11T06:36:27.707Z,Dublin,5.97,mist
2025-12-11T06:36:27.710Z,Dublin,5.97,mist
2025-12-11T08:32:15.432Z,Dublin,6.35,mist
2025-12-11T08:32:15.434Z,Dublin,6.35,mist
2025-12-11T10:27:08.973Z,Dublin,6.23,mist
2025-12-11T10:27:08.975Z,Dublin,6.23,mist
2025-12-11T12:50:28.138Z,Dublin,5.74,mist
2025-12-11T12:50:28.140Z,Dublin,5.74,mist
2025-12-11T14:23:50.591Z,Dublin,5.68,mist
2025-12-11T14:23:50.593Z,Dublin,5.68,mist
2025-12-11T16:33:43.276Z,Dublin,5.56,mist
2025-12-11T16:33:43.279Z,Dublin,5.53,mist
2025-12-11T18:33:08.778Z,Dublin,7.97,fog
2025-12-11T18:33:08.780Z,Dublin,7.97,fog
2025-12-11T20:25:45.778Z,Dublin,13.32,clear sky
2025-12-11T20:25:45.793Z,Dublin,13.32,clear sky
2025-12-11T22:22:17.741Z,Dublin,17.37,clear sky
2025-12-11T22:22:17.743Z,Dublin,17.37,clear sky
2025-12-12T01:48:31.424Z,Dublin,11.75,clear sky
2025-12-12T01:48:31.536Z,Dublin,11.75,clear sky
2025-12-12T03:24:54.977Z,Dublin,11.7,clear sky
2025-12-12T03:24:54.978Z,Dublin,11.7,clear sky
2025-12-12T04:35:03.557Z,Dublin,8.3,clear sky
2025-12-12T04:35:03.565Z,Dublin,8.3,clear sky
2025-12-12T06:35:37.971Z,Dublin,6.26,clear sky
2025-12-12T06:35:37.973Z,Dublin,6.26,clear sky
2025-12-12T08:32:31.542Z,Dublin,10.78,clear sky
2025-12-12T08:32:31.544Z,Dublin,10.78,clear sky
2025-12-12T10:25:34.305Z,Dublin,4.7,mist
2025-12-12T10:25:34.307Z,Dublin,6.2,clear sky
2025-12-12T12:48:07.330Z,Dublin,4.55,fog
2025-12-12T12:48:07.332Z,Dublin,4.55,fog
2025-12-12T14:20:49.390Z,Dublin,4.77,mist
2025-12-12T14:20:49.392Z,Dublin,4.74,mist
2025-12-12T16:28:10.500Z,Dublin,4.52,mist
2025-12-12T16:28:10.507Z,Dublin,4.55,mist
2025-12-12T18:34:22.379Z,Dublin,9.36,clear sky
2025-12-12T18:34:22.385Z,Dublin,9.37,clear sky
2025-12-12T20:25:34.354Z,Dublin,13.44,clear sky
2025-12-12T20:25:34.356Z,Dublin,13.44,clear sky
2025-12-12T22:21:44.797Z,Dublin,15.97,clear sky
2025-12-12T22:21:44.798Z,Dublin,15.97,clear sky
2025-12-13T01:42:51.020Z,Dublin,9.77,clear sky
2025-12-13T01:42:51.031Z,Dublin,9.77,clear sky
2025-12-13T03:16:48.742Z,Dublin,9.73,clear sky
2025-12-13T03:16:48.744Z,Dublin,9.74,clear sky
2025-12-13T04:27:45.280Z,Dublin,10.43,clear sky
2025-12-13T04:27:45.289Z,Dublin,10.43,clear sky
2025-12-13T06:32:36.774Z,Dublin,8.4,clear sky
2025-12-13T06:32:36.776Z,Dublin,8.37,clear sky
2025-12-13T08:27:06.026Z,Dublin,8.14,clear sky
2025-12-13T08:27:06.028Z,Dublin,8.14,clear sky
2025-12-13T10:21:13.512Z,Dublin,7.18,clear sky
2025-12-13T10:21:13.514Z,Dublin,7.18,clear sky
2025-12-13T12:41:32.118Z,Dublin,6.76,clear sky
2025-12-13T12:41:32.120Z,Dublin,6.76,clear sky
2025-12-13T14:19:34.853Z,Dublin,4.85,clear sky
2025-12-13T14:19:34.855Z,Dublin,2.55,mist
2025-12-13T16:26:24.057Z,Dublin,4.19,clear sky
2025-12-13T16:26:24.059Z,Dublin,4.19,clear sky
2025-12-13T18:28:47.566Z,Dublin,7.33,clear sky
2025-12-13T18:28:47.568Z,Dublin,7.33,clear sky
2025-12-13T20:23:16.340Z,Dublin,9.98,clear sky
2025-12-13T20:23:16.342Z,Dublin,9.98,clear sky
2025-12-13T22:19:55.772Z,Dublin,15.88,clear sky
2025-12-13T22:19:55.774Z,Dublin,15.86,clear sky
2025-12-14T01:54:49.547Z,Dublin,9.44,clear sky
2025-12-14T01:54:49.549Z,Dublin,9.44,clear sky
2025-12-14T03:39:30.788Z,Dublin,8.36,clear sky
2025-12-14T03:39:30.790Z,Dublin,8.36,clear sky
2025-12-14T04:37:36.595Z,Dublin,8.37,clear sky
2025-12-14T04:37:36.597Z,Dublin,8.37,clear sky
2025-12-14T06:32:33.350Z,Dublin,7.53,scattered clouds
2025-12-14T06:32:33.352Z,Dublin,7.53,scattered clouds
2025-12-14T08:28:08.210Z,Dublin,6.81,overcast clouds
2025-12-14T08:28:08.212Z,Dublin,6.81,overcast clouds
2025-12-14T10:21:48.159Z,Dublin,6.81,overcast clouds
2025-12-14T10:21:48.161Z,Dublin,6.81,overcast clouds
2025-12-14T12:41:56.328Z,Dublin,5.85,overcast clouds
2025-12-14T12:41:56.330Z,Dublin,5.85,overcast clouds
2025-12-14T14:19:30.302Z,Dublin,6.19,overcast clouds
2025-12-14T14:19:30.304Z,Dublin,6.19,overcast clouds
2025-12-14T16:26:07.233Z,Dublin,6.66,mist
2025-12-14T16:26:07.238Z,Dublin,6.66,mist
2025-12-14T18:30:36.052Z,Dublin,7.9,mist
2025-12-14T18:30:36.054Z,Dublin,7.58,mist
2025-12-14T20:23:29.091Z,Dublin,8.45,scattered clouds
2025-12-14T20:23:29.092Z,Dublin,8.45,scattered clouds
2025-12-14T22:19:48.995Z,Dublin,13.44,few clouds
2025-12-14T22:19:48.998Z,Dublin,13.44,few clouds
2025-12-15T01:52:16.184Z,Dublin,8.01,haze
2025-12-15T01:52:16.187Z,Dublin,8.01,haze
2025-12-15T03:43:14.853Z,Dublin,6.57,mist
2025-12-15T03:43:14.855Z,Dublin,6.57,mist
2025-12-15T04:42:01.039Z,Dublin,6.34,mist
2025-12-15T04:42:01.041Z,Dublin,6.34,mist
2025-12-15T06:38:15.220Z,Dublin,6.17,mist
2025-12-15T06:38:15.222Z,Dublin,6.17,mist
2025-12-15T08:34:46.562Z,Dublin,4.58,broken clouds
2025-12-15T08:34:46.564Z,Dublin,4.58,broken clouds
2025-12-15T10:28:58.300Z,Dublin,3.66,fog
2025-12-15T10:28:58.301Z,Dublin,3.66,fog
2025-12-15T12:51:23.427Z,Dublin,5.65,overcast clouds
2025-12-15T12:51:23.429Z,Dublin,5.65,overcast clouds
2025-12-15T14:27:07.247Z,Dublin,5.51,overcast clouds
2025-12-15T14:27:07.249Z,Dublin,5.51,overcast clouds
2025-12-15T16:34:03.709Z,Dublin,5.34,broken clouds
2025-12-15T16:34:03.712Z,Dublin,5.34,broken clouds
2025-12-15T18:34:55.882Z,Dublin,6.43,scattered clouds
2025-12-15T18:34:55.884Z,Dublin,6.43,scattered clouds
2025-12-15T20:26:42.493Z,Dublin,12.85,overcast clouds
2025-12-15T20:26:42.496Z,Dublin,12.85,overcast clouds
2025-12-15T22:22:19.863Z,Dublin,13.9,clear sky
2025-12-15T22:22:19.865Z,Dublin,13.77,clear sky
2025-12-16T01:49:22.824Z,Dublin,9.54,clear sky
2025-12-16T01:49:22.826Z,Dublin,9.65,clear sky
2025-12-16T03:25:51.242Z,Dublin,8.79,mist
2025-12-16T03:25:51.244Z,Dublin,8.79,mist
2025-12-16T04:36:35.750Z,Dublin,9.41,clear sky
2025-12-16T04:36:35.752Z,Dublin,9.41,clear sky
2025-12-16T06:36:22.602Z,Dublin,7.43,clear sky
2025-12-16T06:36:22.605Z,Dublin,7.43,clear sky
2025-12-16T08:33:02.339Z,Dublin,8.98,clear sky
